-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                              gpu_model_runner: forward         0.00%       0.000us         0.00%       0.000us       0.000us     154.803ms        58.71%     154.803ms      30.961ms           0 B           0 B           0 B           0 B             5  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us     103.976ms        39.43%     103.976ms      10.398ms           0 B           0 B           0 B           0 B            10  
ampere_bf16_s1688gemm_bf16_64x128_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us      87.349ms        33.13%      87.349ms     311.959us           0 B           0 B           0 B           0 B           280  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      52.898ms        20.06%      52.898ms      62.974us           0 B           0 B           0 B           0 B           840  
ampere_bf16_s1688gemm_bf16_128x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us      46.631ms        17.69%      46.631ms     166.539us           0 B           0 B           0 B           0 B           280  
                execute_context_1(1024)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      20.779ms         7.88%      20.779ms       4.156ms           0 B           0 B           0 B           0 B             5  
                                               aten::mm         0.31%     962.298us         0.47%       1.460ms      97.308us      20.027ms         7.60%      20.027ms       1.335ms           0 B           0 B     441.68 MB     441.68 MB            15  
ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us      15.087ms         5.72%      15.087ms       1.509ms           0 B           0 B           0 B           0 B            10  
                           gpu_model_runner: preprocess         0.00%       0.000us         0.00%       0.000us       0.000us      11.680ms         4.43%      11.680ms       2.336ms           0 B           0 B           0 B           0 B             5  
